Date,Value,Anomaly
193904,72.9,0.9
194004,69.2,-2.8
194104,71.5,-0.5
194204,70.4,-1.6
194304,71.5,-0.5
194404,73.4,1.4
194504,75.8,3.8
194604,72.6,0.6
194704,76.8,4.8
194804,74.3,2.3
194904,73.6,1.6
195004,67.9,-4.1
195104,69.8,-2.2
195204,69.7,-2.3
195304,71.1,-0.9
195404,75.5,3.5
195504,72.7,0.7
195604,70.6,-1.4
195704,73.4,1.4
195804,71.3,-0.7
195904,71.7,-0.3
196004,73,1
196104,68.9,-3.1
196204,70.1,-1.9
196304,72.9,0.9
196404,74.2,2.2
196504,73.9,1.9
196604,70.4,-1.6
196704,74.3,2.3
196804,73.6,1.6
196904,73.1,1.1
197004,74.1,2.1
197104,69.7,-2.3
197204,71.7,-0.3
197304,69.6,-2.4
197404,71.3,-0.7
197504,74.3,2.3
197604,71.3,-0.7
197704,72.4,0.4
197804,73.1,1.1
197904,73.9,1.9
198004,71.1,-0.9
198104,73.4,1.4
198204,72.5,0.5
198304,69.4,-2.6
198404,71,-1
198504,72.5,0.5
198604,69.2,-2.8
198704,66.4,-5.6
198804,70.4,-1.6
198904,71.8,-0.2
199004,71.9,-0.1
199104,76.6,4.6
199204,69.4,-2.6
199304,67.2,-4.8
199404,75.4,3.4
199504,73.5,1.5
199604,70.3,-1.7
199704,71.5,-0.5
199804,72.2,0.2
199904,74.2,2.2
200004,71.5,-0.5
200104,72.6,0.6
200204,76.2,4.2
200304,72.4,0.4
200404,70.5,-1.5
200504,69.3,-2.7
200604,74.4,2.4
200704,71.2,-0.8
200804,72.7,0.7
200904,74,2
201004,73.2,1.2
201104,76.8,4.8
201204,75.2,3.2
201304,75.9,3.9
201404,73.6,1.6
201504,78.1,6.1
201604,74.3,2.3
201704,77.1,5.1
201804,74.6,2.6
201904,74.7,2.7
202004,75.4,3.4
202104,73.9,1.9
